cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,int_flux_mJy,major_axis_arcsec,minor_axis_arcsec,rms_mJy_beam,sidelobe_prob,is_extended
138,A2670,358.56,-10.41,1,358.5571249999999,-10.418794444444444,0.5542707212035262,1.09,1.73,8.050000190734863,0.0,,,True
138,A2670,358.56,-10.41,2,358.5574666666666,-10.422016666666666,0.7363353937896191,4.45,4.77,2.490000009536743,0.0,,,False
138,A2670,358.56,-10.41,3,358.5765708333333,-10.418033333333332,1.0902099074294704,7.85,14.24,8.34000015258789,2.5,,,True
138,A2670,358.56,-10.41,4,358.5573041666666,-10.44383888888889,2.036555807169686,1.01,0.96,2.319999933242798,0.0,,,False
138,A2670,358.56,-10.41,5,358.5278583333333,-10.354158333333332,3.8502181250548073,5.63,5.7,1.2699999809265137,0.0,,,False
138,A2670,358.56,-10.41,6,358.57670416666656,-10.337394444444445,4.466494667712566,1.87,1.87,1.8200000524520874,0.0,,,False
140,A763,138.12,15.94,1,138.1275708333333,15.924463888888889,1.029431751380886,18.5,19.71,1.7100000381469727,0.9399999976158142,,,False
140,A763,138.12,15.94,2,138.0868625,15.913497222222222,2.4867845309609873,1.19,12.76,25.479999542236328,10.699999809265137,,,True
140,A763,138.12,15.94,3,138.13382916666666,15.898758333333333,2.5999690731753233,1.14,1.29,4.820000171661377,0.0,,,False
140,A763,138.12,15.94,4,138.1406458333333,15.99616111111111,3.5739365209021323,9.62,41.24,12.40999984741211,7.489999771118164,,,True
140,A763,138.12,15.94,5,138.1437333333333,15.997847222222221,3.7310829438331696,4.03,20.93,29.860000610351562,0.0,,,True
140,A763,138.12,15.94,6,138.15224166666664,16.000916666666665,4.100977008019838,5.22,17.86,14.430000305175781,3.559999942779541,,,True
140,A763,138.12,15.94,7,138.1534708333333,16.003508333333333,4.2717226519811184,4.42,44.14,25.75,9.649999618530273,,,True
142,A2051,229.14,0.95,1,229.09874166666665,0.9169472222222221,3.1716594452914806,7.19,7.15,1.100000023841858,0.0,,,False
